OIL_VOL,GAS_VOL,WAT_VOL,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,DAYTIME,id_model,model_type
1421.1713172484317,212505.8851140136,1337.5371825573013,1098.55,173629.79,1270.7,2015-09-03,fae3f457-4284-4bd7-9b65-85368744d855,LR
1303.8708547606846,197529.47975931125,1286.8921481879443,955.69,148269.3,1191.87,2015-09-04,fae3f457-4284-4bd7-9b65-85368744d855,LR
1138.337083417038,172001.73979520082,1200.9822133231064,1079.01,163219.28,1299.37,2015-09-05,fae3f457-4284-4bd7-9b65-85368744d855,LR
1310.4720474712149,195277.22879910795,1309.1845318457774,1043.55,156646.96,1184.84,2015-09-06,fae3f457-4284-4bd7-9b65-85368744d855,LR
1277.5248907746115,190313.49233064198,1200.2204222718528,1036.29,155171.95,1240.34,2015-09-07,fae3f457-4284-4bd7-9b65-85368744d855,LR
1274.5475046543959,189619.13175442425,1253.0669839049906,1027.85,154101.3,1260.82,2015-09-08,fae3f457-4284-4bd7-9b65-85368744d855,LR
1269.1320697493277,188894.34650335394,1272.9893833797883,1028.02,153648.93,1263.17,2015-09-09,fae3f457-4284-4bd7-9b65-85368744d855,LR
1265.3145822928207,188131.80282348528,1274.0778189403213,1024.19,153098.51,1290.16,2015-09-10,fae3f457-4284-4bd7-9b65-85368744d855,LR
1264.0758945715133,187734.01203872493,1299.206108546567,1027.57,154607.72,1289.94,2015-09-11,fae3f457-4284-4bd7-9b65-85368744d855,LR
1270.7058024881808,188945.9755661734,1299.7266910225349,1041.37,154431.79,1278.06,2015-09-12,fae3f457-4284-4bd7-9b65-85368744d855,LR
1283.1971470993017,189784.7185242154,1286.726563124305,1032.61,152835.56,1279.59,2015-09-13,fae3f457-4284-4bd7-9b65-85368744d855,LR
1274.5901773826988,188546.1359402176,1288.4534312340643,1005.36,150815.6,1274.07,2015-09-14,fae3f457-4284-4bd7-9b65-85368744d855,LR
1251.1784134679685,186153.47722310916,1285.1529081368192,1040.99,154254.19,1268.62,2015-09-15,fae3f457-4284-4bd7-9b65-85368744d855,LR
1278.3149005286302,189364.33575020437,1278.0134198690328,1051.22,155058.71,1263.29,2015-09-16,fae3f457-4284-4bd7-9b65-85368744d855,LR
1288.2518273865405,190452.19732613195,1272.3696303244192,1040.85,154606.57,1272.72,2015-09-17,fae3f457-4284-4bd7-9b65-85368744d855,LR
1276.9041097141221,189410.14297716878,1282.1759757978873,1082.77,158412.72,1185.97,2015-09-18,fae3f457-4284-4bd7-9b65-85368744d855,LR
1307.6522587596216,192994.89378120637,1196.9528418597467,1051.51,153435.06,1163.41,2015-09-19,fae3f457-4284-4bd7-9b65-85368744d855,LR
1282.42068639137,189274.70546971777,1176.303568035068,1006.61,151247.56,1101.64,2015-09-20,fae3f457-4284-4bd7-9b65-85368744d855,LR
1241.459294995974,185466.7083673209,1121.3355833455396,1065.57,160596.97,1141.82,2015-09-21,fae3f457-4284-4bd7-9b65-85368744d855,LR
1292.124996230302,192782.66069242652,1158.6065584109137,810.98,126742.7,876.9,2015-09-22,fae3f457-4284-4bd7-9b65-85368744d855,LR
962.0935909985951,147413.25578592267,894.7849209422483,1070.19,161375.49,1229.15,2015-09-23,fae3f457-4284-4bd7-9b65-85368744d855,LR
1288.2529707049398,192048.89941752775,1240.7210593479706,1069.42,161188.15,1250.03,2015-09-24,fae3f457-4284-4bd7-9b65-85368744d855,LR
1302.482526267338,193682.9912161927,1262.1389430820932,1067.92,162965.69,1348.53,2015-09-25,fae3f457-4284-4bd7-9b65-85368744d855,LR
1302.0843761731683,194433.8218901787,1357.343037776766,1070.45,161704.07,1343.26,2015-09-26,fae3f457-4284-4bd7-9b65-85368744d855,LR
1294.9732473083318,192907.61147470333,1350.0294084325983,1056.78,161682.12,1341.38,2015-09-27,fae3f457-4284-4bd7-9b65-85368744d855,LR
